date,Team_1,Team_2,Winner,Margin,Ground
07-Dec-71,Pakistan,Sri Lanka,Pakistan,5 wickets,Lahore
08-Dec-71,Pakistan,Sri Lanka,Pakistan,89 runs,Hyderabad (Sind)
09-Dec-71,Pakistan,West Indies,West Indies,7 wickets,Sharjah
10-Dec-71,India,Pakistan,Pakistan,48 runs,Sharjah
11-Dec-71,India,West Indies,West Indies,8 wickets,Sharjah
12-Dec-71,Pakistan,West Indies,West Indies,8 wickets,Gujranwala
13-Dec-71,Pakistan,West Indies,Pakistan,6 wickets,Lahore
14-Dec-71,Pakistan,West Indies,West Indies,40 runs,Peshawar
15-Dec-71,Pakistan,West Indies,Pakistan,5 wickets,Rawalpindi
16-Dec-71,Pakistan,West Indies,West Indies,8 wickets,Karachi
17-Dec-71,Australia,New Zealand,no result,,Melbourne
18-Dec-71,India,New Zealand,India,5 wickets,Brisbane
19-Dec-71,Australia,India,Australia,4 wickets,Brisbane
20-Dec-71,Australia,New Zealand,Australia,4 wickets,Sydney
21-Dec-71,Australia,India,India,8 wickets,Melbourne
22-Dec-71,India,New Zealand,New Zealand,3 wickets,Perth
23-Dec-71,Australia,New Zealand,Australia,4 wickets,Perth
24-Dec-71,Australia,India,Australia,100 runs,Sydney
25-Dec-71,India,New Zealand,New Zealand,5 wickets,Melbourne
26-Dec-71,India,New Zealand,India,5 wickets,Adelaide
27-Dec-71,Australia,India,Australia,36 runs,Adelaide
28-Dec-71,Australia,New Zealand,New Zealand,206 runs,Adelaide
29-Dec-71,Australia,New Zealand,Australia,99 runs,Sydney
30-Dec-71,Australia,India,India,6 wickets,Melbourne
31-Dec-71,India,New Zealand,India,22 runs,Launceston
01-Jan-72,Australia,India,Australia,11 runs,Sydney
02-Jan-72,Australia,India,Australia,7 wickets,Melbourne
03-Jan-72,West Indies,England,West Indies,6 wickets,Kingston
04-Jan-72,Sri Lanka,Pakistan,Pakistan,8 wickets,Kandy
05-Jan-72,West Indies,England,England,5 wickets,Port of Spain
06-Jan-72,Sri Lanka,Pakistan,no result,,Moratuwa
07-Jan-72,Sri Lanka,Pakistan,Pakistan,8 wickets,Colombo (SSC)
08-Jan-72,New Zealand,Australia,New Zealand,30 runs,Dunedin
09-Jan-72,West Indies,England,West Indies,135 runs,Bridgetown
10-Jan-72,New Zealand,Australia,New Zealand,53 runs,Christchurch
11-Jan-72,New Zealand,Australia,Australia,3 wickets,Wellington
12-Jan-72,New Zealand,Australia,Australia,44 runs,Auckland
13-Jan-72,Sri Lanka,Pakistan,Pakistan,81 runs,Colombo (PSS)
14-Jan-72,Bangladesh,Pakistan,Pakistan,7 wickets,Moratuwa
15-Jan-72,West Indies,England,West Indies,8 wickets,Port of Spain
16-Jan-72,Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Kandy
17-Jan-72,Sri Lanka,New Zealand,New Zealand,6 wickets,Colombo (RPS)
18-Jan-72,Sri Lanka,Pakistan,Sri Lanka,5 wickets,Colombo (SSC)
19-Jan-72,New Zealand,Pakistan,Pakistan,4 wickets,Colombo (SSC)
20-Jan-72,India,New Zealand,India,3 wickets,Sharjah
21-Jan-72,Australia,Pakistan,Pakistan,8 wickets,Sharjah
22-Jan-72,India,Sri Lanka,India,3 wickets,Sharjah
23-Jan-72,New Zealand,Pakistan,Pakistan,10 wickets,Sharjah
24-Jan-72,India,Pakistan,Pakistan,1 wicket,Sharjah
25-Jan-72,England,India,India,9 wickets,The Oval
26-Jan-72,England,India,England,5 wickets,Manchester
27-Jan-72,England,New Zealand,New Zealand,47 runs,Leeds
28-Jan-72,England,New Zealand,England,6 wickets,Manchester
29-Jan-72,India,Australia,India,7 wickets,Jaipur
30-Jan-72,India,Australia,Australia,3 wickets,Srinagar
31-Jan-72,India,Australia,no result,,Hyderabad
01-Feb-72,India,Australia,India,3 wickets,Delhi
02-Feb-72,India,Australia,India,52 runs,Ahmedabad
03-Feb-72,India,Australia,Australia,7 wickets,Rajkot
04-Feb-72,Pakistan,West Indies,West Indies,4 wickets,Peshawar
05-Feb-72,Pakistan,West Indies,West Indies,17 runs,Gujranwala
06-Feb-72,Pakistan,West Indies,West Indies,4 wickets,Sialkot
07-Feb-72,Pakistan,West Indies,West Indies,89 runs,Multan
08-Feb-72,Pakistan,West Indies,Pakistan,11 runs,Hyderabad (Sind)
09-Feb-72,India,Sri Lanka,India,7 wickets,Sharjah
10-Feb-72,Pakistan,West Indies,West Indies,9 wickets,Sharjah
11-Feb-72,India,West Indies,West Indies,33 runs,Sharjah
12-Feb-72,Pakistan,Sri Lanka,Pakistan,4 wickets,Sharjah
13-Feb-72,Sri Lanka,West Indies,West Indies,193 runs,Sharjah
14-Feb-72,India,Pakistan,Pakistan,3 wickets,Sharjah
15-Feb-72,India,Sri Lanka,Sri Lanka,117 runs,Kanpur
16-Feb-72,Pakistan,West Indies,Pakistan,34 runs,Perth
17-Feb-72,Australia,England,England,37 runs,Perth
18-Feb-72,Australia,Pakistan,Pakistan,1 wicket,Perth
19-Feb-72,England,West Indies,England,19 runs,Perth
20-Feb-72,Australia,West Indies,West Indies,164 runs,Perth
21-Feb-72,England,Pakistan,England,3 wickets,Perth
22-Feb-72,England,Pakistan,England,5 wickets,Perth
23-Feb-72,India,Sri Lanka,India,8 wickets,Guwahati
24-Feb-72,India,Sri Lanka,India,6 wickets,Delhi
25-Feb-72,India,Sri Lanka,India,94 runs,Vadodara
26-Feb-72,England,West Indies,England,6 wickets,Brisbane
27-Feb-72,India,Sri Lanka,India,10 runs,Wankhede
28-Feb-72,Australia,England,Australia,11 runs,Brisbane
29-Feb-72,Australia,West Indies,West Indies,7 wickets,Melbourne
01-Mar-72,Australia,England,England,3 wickets,Sydney
02-Mar-72,England,West Indies,England,89 runs,Adelaide
03-Mar-72,Australia,West Indies,West Indies,16 runs,Adelaide
04-Mar-72,Australia,England,Australia,33 runs,Adelaide
05-Mar-72,India,Pakistan,Pakistan,3 wickets,Indore
06-Mar-72,Australia,West Indies,Australia,36 runs,Sydney
07-Mar-72,England,West Indies,West Indies,6 wickets,Melbourne
08-Mar-72,Australia,England,Australia,109 runs,Melbourne
09-Mar-72,England,West Indies,England,29 runs,Devonport
10-Mar-72,Australia,West Indies,Australia,2 wickets,Sydney
